TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C580168,12/2/2019,22628,Picnic Boxes Set Of 3 Retrospot,6.19,-1,12465.0,Belgium
C580168,12/2/2019,22321,Bird Decoration Red Retrospot,6.19,-1,12465.0,Belgium
C580168,12/2/2019,22601,Christmas Retrospot Angel Wood,6.19,-1,12465.0,Belgium
C580168,12/2/2019,22329,Round Container Set Of 5 Retrospot,6.19,-1,12465.0,Belgium
C579178,11/28/2019,22941,Christmas Lights 10 Reindeer,6.19,-2,12362.0,Belgium
C579178,11/28/2019,22942,Christmas Lights 10 Santas,6.19,-2,12362.0,Belgium
C579178,11/28/2019,22943,Christmas Lights 10 Vintage Baubles,6.19,-3,12362.0,Belgium
C578432,11/24/2019,21559,Strawberry Lunch Box With Cutlery,6.04,-1,12395.0,Belgium
C575669,11/10/2019,23462,Rococo Wall Mirror White,30.7,-1,12417.0,Belgium
C572532,10/24/2019,22960,Jam Making Set With Jars,14.61,-1,12380.0,Belgium
C565294,9/2/2019,20981,12 Pencils Tall Tube Woodland,11.12,-12,12423.0,Belgium
C563752,8/19/2019,22891,Tea For One Polkadot,14.61,-1,12362.0,Belgium
C563752,8/19/2019,22659,Lunch Box I Love London,12.25,-6,12362.0,Belgium
C563752,8/19/2019,22630,Dolly Girl Lunch Box,12.25,-1,12362.0,Belgium
C559193,7/7/2019,22659,Lunch Box I Love London,12.25,-1,12379.0,Belgium
C558471,6/29/2019,22974,Childrens Dolly Girl Mug,11.94,-1,12408.0,Belgium
C549533,4/8/2019,22628,Picnic Boxes Set Of 3 Retrospot,15.32,-3,12408.0,Belgium
C549253,4/7/2019,22727,Alarm Clock Bakelike Red,14.09,-1,12408.0,Belgium
C549253,4/7/2019,22725,Alarm Clock Bakelike Chocolate,14.09,-1,12408.0,Belgium
C549253,4/7/2019,22466,Fairy Tale Cottage Night Light,12.25,-1,12408.0,Belgium
C549253,4/7/2019,22328,Round Snack Boxes Set Of 4 Fruits,13.27,-1,12408.0,Belgium
C549253,4/7/2019,20712,Jumbo Bag Woodland Animals,6.19,-1,12408.0,Belgium
C546208,3/10/2019,21318,Glass Chalice Blue Small,11.94,-6,12417.0,Belgium
C546208,3/10/2019,22168,Organiser Wood Antique White,18.96,-1,12417.0,Belgium
C544902,2/24/2019,22629,Spaceboy Lunch Box,12.25,-1,12362.0,Belgium
C544902,2/24/2019,22273,Feltcraft Doll Molly,13.27,-1,12362.0,Belgium
C544419,2/18/2019,85232A,Set/3 Polkadot Stacking Tins,15.32,-3,12395.0,Belgium
C541586,1/19/2019,21218,Red Spotty Biscuit Tin,14.09,-3,12383.0,Belgium
C540386,1/6/2019,22666,Recipe Box Pantry Yellow Design,13.27,-1,12417.0,Belgium
C540386,1/6/2019,22845,Vintage Cream Cat Food Container,16.76,-3,12417.0,Belgium
C540386,1/6/2019,22060,Large Cake Stand Hanging Hearts,20.45,-1,12417.0,Belgium
C540152,1/5/2019,22666,Recipe Box Pantry Yellow Design,13.27,-1,12395.0,Belgium
