TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C580056,12/1/2019,22467,Gumball Coat Rack,6.19,-1,14911.0,EIRE
C578136,11/23/2019,71477,Coloured Glass Star T-Light Holder,6.13,-2,14156.0,EIRE
C578136,11/23/2019,23328,Set 6 School Milk Bottles In Crate,6.13,-1,14156.0,EIRE
C578136,11/23/2019,23325,Rustic Strawberry Jam Pot Small,6.13,-5,14156.0,EIRE
C578136,11/23/2019,23173,Regency Teapot Roses,6.13,-1,14156.0,EIRE
C577828,11/22/2019,23318,Box Of 6 Mini Vintage Crackers,12.38,-11,14911.0,EIRE
C577388,11/18/2019,22423,Regency Cakestand 3 Tier,23.32,-1,14911.0,EIRE
C577384,11/18/2019,21313,Glass Heart T-Light Holder,10.91,-10,14156.0,EIRE
C577388,11/18/2019,22699,Roses Regency Teacup And Saucer,13.27,-6,14911.0,EIRE
C577388,11/18/2019,22698,Pink Regency Teacup And Saucer,13.27,-1,14911.0,EIRE
C577388,11/18/2019,22697,Green Regency Teacup And Saucer,13.27,-5,14911.0,EIRE
C577388,11/18/2019,22182,Cake Stand Victorian Filigree Small,15.32,-1,14911.0,EIRE
C577388,11/18/2019,22507,Memo Board Retrospot Design,15.32,-3,14911.0,EIRE
C577388,11/18/2019,22941,Christmas Lights 10 Reindeer,18.96,-1,14911.0,EIRE
C577388,11/18/2019,23454,Three Mini Hanging Frames,14.5,-2,14911.0,EIRE
C577388,11/18/2019,21429,Red Gingham Rose Jewellery Box,12.25,-2,14911.0,EIRE
C577388,11/18/2019,23118,Parisienne Jewellery Drawer,17.94,-1,14911.0,EIRE
C575327,11/9/2019,85048,15cm Christmas Glass Ball 20 Lights,18.4,-2,14911.0,EIRE
C575079,11/8/2019,22990,Cotton Apron Pantry Design,15.32,-2,14911.0,EIRE
C575079,11/8/2019,22666,Recipe Box Pantry Yellow Design,13.27,-2,14911.0,EIRE
C575079,11/8/2019,22452,Measuring Tape Babushka Pink,13.27,-1,14911.0,EIRE
C575160,11/8/2019,23247,Biscuit Tin 50'S Christmas,13.21,-1,14911.0,EIRE
C575160,11/8/2019,71477,Coloured Glass Star T-Light Holder,14.3,-2,14911.0,EIRE
C575160,11/8/2019,23301,Gardeners Kneeling Pad Keep Calm,11.94,-2,14911.0,EIRE
C575174,11/8/2019,21313,Glass Heart T-Light Holder,11.12,-5,14156.0,EIRE
C574496,11/4/2019,22197,Popcorn Holder,11.12,-4,14156.0,EIRE
C574527,11/4/2019,22112,Chocolate Hot Water Bottle,14.39,-24,14156.0,EIRE
C574078,11/2/2019,23427,Stool Home Sweet Home,23.06,-1,14911.0,EIRE
C574078,11/2/2019,72807C,Set/3 Vanilla Scented Candle In Box,14.61,-1,14911.0,EIRE
C573021,10/27/2019,21843,Red Retrospot Cake Stand,21.47,-7,14911.0,EIRE
C573021,10/27/2019,72807B,Set/3 Ocean Scent Candle Jewel Box,14.61,-3,14911.0,EIRE
C573021,10/27/2019,22891,Tea For One Polkadot,14.61,-2,14911.0,EIRE
C572486,10/24/2019,22197,Popcorn Holder,11.12,-32,14156.0,EIRE
C572120,10/20/2019,22138,Baking Set 9 Piece Retrospot,15.32,-1,14911.0,EIRE
C572120,10/20/2019,21430,Set/3 Red Gingham Rose Storage Box,14.09,-1,14911.0,EIRE
