TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C581316,12/8/2019,23020,Glass Songbird Storage Jar,6.19,-1,12523.0,France
C581316,12/8/2019,21531,Red Retrospot Sugar Jam Bowl,6.19,-1,12523.0,France
C581316,12/8/2019,23174,Regency Sugar Bowl Green,6.19,-1,12523.0,France
C580263,12/2/2019,70007,Hi Tec Alpine Hand Warmer,6.19,-12,12536.0,France
C580263,12/2/2019,85175,Cacti T-Light Candles,6.19,-16,12536.0,France
C580263,12/2/2019,84821,Danish Rose Deluxe Coaster,6.19,-12,12536.0,France
C580263,12/2/2019,84819,Danish Rose Round Sewing Box,6.19,-3,12536.0,France
C580263,12/2/2019,84817,Danish Rose Decorative Plate,6.19,-12,12536.0,France
C580263,12/2/2019,72586,Set Of 6 Halloween Ghost T-Lights,6.19,-36,12536.0,France
C580263,12/2/2019,22232,Jigsaw Toadstools 3 Piece,6.19,-16,12536.0,France
C580263,12/2/2019,21934,Skull Shoulder Bag,6.19,-10,12536.0,France
C580263,12/2/2019,21872,Glamorous Mug,6.19,-12,12536.0,France
C579532,11/30/2019,22890,Novelty Biscuits Cake Stand 3 Tier,6.19,-4,12494.0,France
C579562,11/30/2019,23084,Rabbit Night Light,6.19,-1,12553.0,France
C579562,11/30/2019,21731,Red Toadstool Led Night Light,6.19,-1,12553.0,France
C579127,11/28/2019,22326,Round Snack Boxes Set Of4 Woodland,6.19,-1,12674.0,France
C579192,11/28/2019,23320,Giant 50'S Christmas Cracker,6.19,-12,12657.0,France
C579192,11/28/2019,23318,Box Of 6 Mini Vintage Crackers,6.19,-20,12657.0,France
C579192,11/28/2019,22959,Wrap Christmas Village,6.19,-250,12657.0,France
C579192,11/28/2019,22900,Set 2 Tea Towels I Love London,6.19,-6,12657.0,France
C579192,11/28/2019,22818,Card Christmas Village,6.19,-72,12657.0,France
C579192,11/28/2019,22809,Set Of 6 T-Lights Santa,6.19,-12,12657.0,France
C579192,11/28/2019,22423,Regency Cakestand 3 Tier,6.19,-10,12657.0,France
C579192,11/28/2019,22357,Kings Choice Biscuit Tin,7.24,-4,12657.0,France
C578377,11/24/2019,22922,Fridge Magnets Us Diner Assorted,6.13,-120,14277.0,France
C578377,11/24/2019,22923,Fridge Magnets Les Enfants Assorted,5.97,-120,14277.0,France
C578377,11/24/2019,22924,Fridge Magnets La Vie En Rose,5.97,-120,14277.0,France
C576908,11/17/2019,22551,Plasters In Tin Spaceboy,11.94,-1,12670.0,France
C576908,11/17/2019,22556,Plasters In Tin Circus Parade,11.94,-5,12670.0,France
C574946,11/8/2019,22960,Jam Making Set With Jars,14.61,-2,12656.0,France
C574512,11/4/2019,23085,Antique Silver Bauble Lamp,20.91,-6,12577.0,France
C574095,11/3/2019,22726,Alarm Clock Bakelike Green,14.09,-1,12674.0,France
C574095,11/3/2019,22614,Pack Of 12 Spaceboy Tissues,10.65,-1,12674.0,France
C574095,11/3/2019,22326,Round Snack Boxes Set Of4 Woodland,13.27,-1,12674.0,France
C574095,11/3/2019,22326,Round Snack Boxes Set Of4 Woodland,13.27,-1,12674.0,France
C574095,11/3/2019,23237,Set Of 4 Knick Knack Tins Leaf,14.5,-1,12674.0,France
C574095,11/3/2019,23254,Childrens Cutlery Dolly Girl,14.5,-1,12674.0,France
C574261,11/3/2019,23325,Rustic Strawberry Jam Pot Small,11.94,-6,12683.0,France
C574261,11/3/2019,22352,Lunch Box With Cutlery Retrospot,12.86,-1,12683.0,France
C574261,11/3/2019,21208,Pastel Colour Honeycomb Fan,10.65,-5,12683.0,France
C574261,11/3/2019,22636,Childs Breakfast Set Circus Parade,18.96,-4,12683.0,France
C574261,11/3/2019,23169,Classic Glass Cookie Jar,14.5,-2,12683.0,France
C574261,11/3/2019,23236,Storage Tin Vintage Doily,13.21,-4,12683.0,France
C573869,11/1/2019,23485,Botanical Gardens Wall Clock,35.88,-1,12523.0,France
C571678,10/18/2019,21232,Strawberry Ceramic Trinket Pot,11.34,-1,12679.0,France
C571680,10/18/2019,21232,Strawberry Ceramic Trinket Pot,11.34,-1,12679.0,France
C571473,10/17/2019,21232,Strawberry Ceramic Trinket Pot,11.34,-3,12679.0,France
C571127,10/14/2019,35970,Zinc Folkart Sleigh Bells,11.98,-36,12583.0,France
C570515,10/11/2019,90201C,Red Enamel Flower Ring,13.27,-6,12719.0,France
C570515,10/11/2019,90201B,Black Enamel Flower Ring,13.27,-6,12719.0,France
C570515,10/11/2019,72741,Grand Chocolatecandle,11.74,-1,12719.0,France
C570291,10/10/2019,20727,Lunch Bag Black Skull,5.97,-10,12731.0,France
C570194,10/7/2019,23348,Childrens Toy Cooking Utensil Set,12.38,-1,16918.0,France
C570194,10/7/2019,22938,Cupcake Lace Paper Set 6,12.25,-12,16918.0,France
C569981,10/6/2019,22312,Office Mug Warmer Polkadot,13.27,-2,12679.0,France
C569981,10/6/2019,22314,Office Mug Warmer Choc+Blue,13.27,-2,12679.0,France
C568534,9/27/2019,22432,Watering Can Pink Bunny,12.25,-6,12579.0,France
C568557,9/27/2019,22301,Coffee Mug Cat + Bird Design,12.86,-4,12681.0,France
C568557,9/27/2019,20682,Red Retrospot Childrens Umbrella,13.58,-1,12681.0,France
C568244,9/26/2019,23169,Classic Glass Cookie Jar,14.5,-1,12583.0,France
C568244,9/26/2019,22197,Popcorn Holder,11.12,-13,12583.0,France
C567091,9/16/2019,22960,Jam Making Set With Jars,14.61,-6,12513.0,France
C566960,9/15/2019,22634,Childs Breakfast Set Spaceboy,20.45,-3,12616.0,France
C565615,9/5/2019,22423,Regency Cakestand 3 Tier,23.32,-1,12683.0,France
C565615,9/5/2019,23325,Rustic Strawberry Jam Pot Small,11.94,-7,12683.0,France
