TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C581409,12/8/2019,84946,Antique Silver T-Light Glass,6.19,-1,12476.0,Germany
C581409,12/8/2019,20979,36 Pencils Tube Red Retrospot,6.19,-3,12476.0,Germany
C581409,12/8/2019,23425,Storage Tin Home Sweet Home,6.19,-3,12476.0,Germany
C581409,12/8/2019,22364,Glass Jar Digestive Biscuits,6.19,-2,12476.0,Germany
C581409,12/8/2019,23114,Vintage Leaf Chopping Board,6.19,-1,12476.0,Germany
C581409,12/8/2019,23245,Set Of 3 Regency Cake Tins,6.19,-1,12476.0,Germany
C581409,12/8/2019,23462,Rococo Wall Mirror White,6.19,-1,12476.0,Germany
C581409,12/8/2019,22781,Gumball Magazine Rack,6.19,-1,12476.0,Germany
C581409,12/8/2019,82484,Wood Black Board Ant White Finish,6.19,-1,12476.0,Germany
C581409,12/8/2019,82482,Wooden Picture Frame White Finish,7.24,-1,12476.0,Germany
C581409,12/8/2019,22173,Metal 4 Hook Hanger French Chateau,7.24,-2,12476.0,Germany
C581409,12/8/2019,85199L,Large Hanging Ivory & Red Wood Bird,7.24,-1,12476.0,Germany
C581409,12/8/2019,85127,Small Square Cut Glass Candlestick,7.24,-5,12476.0,Germany
C580740,12/6/2019,20978,36 Pencils Tube Skulls,6.19,-16,12479.0,Germany
C580740,12/6/2019,20979,36 Pencils Tube Red Retrospot,6.19,-12,12479.0,Germany
C580989,12/6/2019,22331,Woodland Party Bag + Sticker Set,6.19,-1,12709.0,Germany
C580714,12/5/2019,22720,Set Of 3 Cake Tins Pantry Design,6.19,-2,12479.0,Germany
C580714,12/5/2019,20979,36 Pencils Tube Red Retrospot,6.19,-4,12479.0,Germany
C580313,12/2/2019,37450,Ceramic Cake Bowl + Hanging Cakes,6.19,-1,12668.0,Germany
C580313,12/2/2019,22649,Strawberry Fairy Cake Teapot,6.19,-3,12668.0,Germany
C580313,12/2/2019,22419,Lipstick Pen Red,6.19,-6,12668.0,Germany
C580313,12/2/2019,22303,Coffee Mug Apples Design,7.24,-2,12668.0,Germany
C580313,12/2/2019,21232,Strawberry Ceramic Trinket Pot,7.24,-3,12668.0,Germany
C579090,11/28/2019,84598,Boys Alphabet Iron On Patches,6.19,-288,12427.0,Germany
C578062,11/22/2019,23174,Regency Sugar Bowl Green,14.5,-3,12471.0,Germany
C578062,11/22/2019,23245,Set Of 3 Regency Cake Tins,15.32,-4,12471.0,Germany
C578062,11/22/2019,23197,Sketchbook Magnetic Shopping List,11.74,-3,12471.0,Germany
C577775,11/21/2019,22236,Cake Stand 3 Tier Magic Garden,21.47,-12,12504.0,Germany
C577693,11/21/2019,22654,Deluxe Sewing Kit,16.35,-2,12628.0,Germany
C577693,11/21/2019,23245,Set Of 3 Regency Cake Tins,15.32,-1,12628.0,Germany
C577775,11/21/2019,22776,Sweetheart 3 Tier Cake Stand,18.96,-12,12504.0,Germany
C577775,11/21/2019,22220,Cake Stand Lovebird 2 Tier White,18.96,-12,12504.0,Germany
C577397,11/18/2019,22236,Cake Stand 3 Tier Magic Garden,23.32,-1,12504.0,Germany
C577397,11/18/2019,22220,Cake Stand Lovebird 2 Tier White,20.45,-1,12504.0,Germany
C577397,11/18/2019,22776,Sweetheart 3 Tier Cake Stand,20.45,-1,12504.0,Germany
C576903,11/17/2019,23485,Botanical Gardens Wall Clock,35.88,-1,12712.0,Germany
C576974,11/17/2019,22779,Wooden Owls Light Garland,14.61,-2,12474.0,Germany
C576974,11/17/2019,22467,Gumball Coat Rack,12.86,-1,12474.0,Germany
C576183,11/14/2019,22555,Plasters In Tin Strongman,11.94,-12,12476.0,Germany
C576183,11/14/2019,22556,Plasters In Tin Circus Parade,11.94,-12,12476.0,Germany
C576229,11/14/2019,23236,Storage Tin Vintage Doily,13.21,-3,13816.0,Germany
C575839,11/11/2019,22554,Plasters In Tin Woodland Animals,11.94,-12,12517.0,Germany
C575839,11/11/2019,22551,Plasters In Tin Spaceboy,11.94,-11,12517.0,Germany
C575592,11/10/2019,22080,Ribbon Reel Polkadots,11.94,-10,12619.0,Germany
C575592,11/10/2019,22079,Ribbon Reel Hearts Design,11.94,-10,12619.0,Germany
C575223,11/9/2019,22973,Children's Circus Parade Mug,11.94,-1,12472.0,Germany
C575082,11/8/2019,21843,Red Retrospot Cake Stand,21.47,-4,12613.0,Germany
C575064,11/8/2019,23494,Vintage Doily Deluxe Sewing Kit,16.35,-1,12472.0,Germany
C575064,11/8/2019,22467,Gumball Coat Rack,12.86,-8,12472.0,Germany
C575064,11/8/2019,22212,Four Hook White Lovebirds,12.4,-1,12472.0,Germany
C575064,11/8/2019,21669,Blue Stripe Ceramic Drawer Knob,11.74,-1,12472.0,Germany
C575064,11/8/2019,20749,Assorted Colour Mini Cases,18.4,-1,12472.0,Germany
C575064,11/8/2019,20712,Jumbo Bag Woodland Animals,6.19,-2,12472.0,Germany
C575082,11/8/2019,22720,Set Of 3 Cake Tins Pantry Design,15.32,-1,12613.0,Germany
C575082,11/8/2019,23243,Set Of Tea Coffee Sugar Tins Pantry,15.32,-1,12613.0,Germany
C575082,11/8/2019,23245,Set Of 3 Regency Cake Tins,15.32,-2,12613.0,Germany
C575082,11/8/2019,79191C,Retro Plastic Elephant Tray,11.12,-12,12613.0,Germany
C575082,11/8/2019,22352,Lunch Box With Cutlery Retrospot,12.86,-1,12613.0,Germany
C575082,11/8/2019,22326,Round Snack Boxes Set Of4 Woodland,13.27,-3,12613.0,Germany
C575082,11/8/2019,22978,Pantry Rolling Pin,14.09,-6,12613.0,Germany
C575082,11/8/2019,22558,Clothes Pegs Retrospot Pack 24,11.94,-6,12613.0,Germany
C575082,11/8/2019,22492,Mini Paint Set Vintage,10.92,-12,12613.0,Germany
C575150,11/8/2019,23368,Set 12 Colour Pencils Dolly Girl,10.92,-3,12471.0,Germany
C575150,11/8/2019,23347,I Love London Beaker,11.53,-12,12471.0,Germany
C575150,11/8/2019,23291,Dolly Girl Childrens Cup,11.53,-1,12471.0,Germany
C575150,11/8/2019,23289,Dolly Girl Childrens Bowl,11.53,-1,12471.0,Germany
C575150,11/8/2019,23245,Set Of 3 Regency Cake Tins,14.5,-6,12471.0,Germany
C575150,11/8/2019,23240,Set Of 4 Knick Knack Tins Doily,14.5,-3,12471.0,Germany
C575150,11/8/2019,23198,Pantry Magnetic Shopping List,11.74,-9,12471.0,Germany
C574347,11/4/2019,23427,Stool Home Sweet Home,20.91,-1,12500.0,Germany
C574347,11/4/2019,23395,Belle Jardiniere Cushion Cover,14.09,-3,12500.0,Germany
C574061,11/2/2019,22779,Wooden Owls Light Garland,14.61,-12,12474.0,Germany
C573187,10/28/2019,22627,Mint Kitchen Scales,18.96,-1,12709.0,Germany
C573037,10/27/2019,22423,Regency Cakestand 3 Tier,21.47,-11,12471.0,Germany
C573037,10/27/2019,23245,Set Of 3 Regency Cake Tins,15.32,-3,12471.0,Germany
C573037,10/27/2019,23368,Set 12 Colour Pencils Dolly Girl,10.92,-3,12471.0,Germany
C573037,10/27/2019,23197,Sketchbook Magnetic Shopping List,11.74,-6,12471.0,Germany
C573037,10/27/2019,21232,Strawberry Ceramic Trinket Pot,11.53,-2,12471.0,Germany
C573037,10/27/2019,23294,Set Of 6 Snack Loaf Baking Cases,11.1,-1,12471.0,Germany
C573037,10/27/2019,23238,Set Of 4 Knick Knack Tins London,14.5,-2,12471.0,Germany
C573037,10/27/2019,23198,Pantry Magnetic Shopping List,11.74,-13,12471.0,Germany
C572488,10/24/2019,22972,Children's Spaceboy Mug,11.94,-1,12474.0,Germany
C572488,10/24/2019,22556,Plasters In Tin Circus Parade,11.94,-12,12474.0,Germany
C572488,10/24/2019,22636,Childs Breakfast Set Circus Parade,18.96,-2,12474.0,Germany
C572275,10/23/2019,22423,Regency Cakestand 3 Tier,23.32,-1,12572.0,Germany
C572275,10/23/2019,71279,Pink Glass Candleholder,13.27,-1,12572.0,Germany
C571928,10/19/2019,23494,Vintage Doily Deluxe Sewing Kit,16.35,-5,12720.0,Germany
C571251,10/14/2019,22625,Red Kitchen Scales,18.96,-2,13814.0,Germany
C570963,10/13/2019,85183A,Charlie & Lola Wastepaper Bin Blue,11.53,-1,13816.0,Germany
C570963,10/13/2019,21531,Red Retrospot Sugar Jam Bowl,12.86,-1,13816.0,Germany
C570963,10/13/2019,23289,Dolly Girl Childrens Bowl,11.53,-2,13816.0,Germany
C570963,10/13/2019,23280,Folding Butterfly Mirror Hot Pink,11.1,-2,13816.0,Germany
C571009,10/13/2019,90201A,Purple Enamel Flower Ring,13.27,-4,12612.0,Germany
C571009,10/13/2019,90160A,Purple Boudicca Large Bracelet,17.37,-7,12612.0,Germany
C571066,10/13/2019,22405,Money Box Pocket Money Design,11.34,-1,12709.0,Germany
C571066,10/13/2019,21238,Red Retrospot Cup,11.12,-1,12709.0,Germany
C571066,10/13/2019,21658,Glass Beurre Dish,14.3,-2,12709.0,Germany
C571066,10/13/2019,22960,Jam Making Set With Jars,14.09,-1,12709.0,Germany
C570727,10/12/2019,23198,Pantry Magnetic Shopping List,11.74,-1,12471.0,Germany
C570283,10/10/2019,23355,Hot Water Bottle Keep Calm,15.32,-1,12708.0,Germany
C570283,10/10/2019,85053,French Enamel Candleholder,12.4,-1,12708.0,Germany
C570283,10/10/2019,22962,Jam Jar With Pink Lid,11.12,-3,12708.0,Germany
C569733,10/6/2019,78033,Flag Of St George Chair,16.35,-2,12500.0,Germany
C569973,10/6/2019,22328,Round Snack Boxes Set Of 4 Fruits,13.27,-3,12703.0,Germany
C569485,10/4/2019,23236,Storage Tin Vintage Doily,13.21,-1,12705.0,Germany
C569485,10/4/2019,23241,Treasure Tin Gymkhana Design,12.38,-2,12705.0,Germany
C568899,9/29/2019,23292,Spaceboy Childrens Cup,11.53,-1,12619.0,Germany
C568580,9/28/2019,22628,Picnic Boxes Set Of 3 Retrospot,15.32,-1,12566.0,Germany
C568677,9/28/2019,23290,Spaceboy Childrens Bowl,11.53,-2,12619.0,Germany
C568386,9/27/2019,22667,Recipe Box Retrospot,13.27,-3,12720.0,Germany
C568386,9/27/2019,21936,Red Retrospot Picnic Bag,13.27,-2,12720.0,Germany
C567519,9/20/2019,22322,Bird Decoration Green Polkadot,11.12,-12,12474.0,Germany
C567187,9/19/2019,22383,Lunch Bag Suki Design,5.97,-1,12705.0,Germany
C566986,9/16/2019,84663A,Grass Hopper Wooden Wall Clock,11.06,-1,12476.0,Germany
C567147,9/16/2019,23307,Set Of 60 Pantry Design Cake Cases,10.81,-24,12709.0,Germany
C567147,9/16/2019,21658,Glass Beurre Dish,13.72,-1,12709.0,Germany
C567147,9/16/2019,22627,Mint Kitchen Scales,18.09,-1,12709.0,Germany
C566084,9/9/2019,23172,Regency Tea Plate Pink,11.94,-1,12621.0,Germany
C566084,9/9/2019,22699,Roses Regency Teacup And Saucer,13.27,-6,12621.0,Germany
C566084,9/9/2019,22698,Pink Regency Teacup And Saucer,13.27,-3,12621.0,Germany
C566084,9/9/2019,22697,Green Regency Teacup And Saucer,13.27,-6,12621.0,Germany
C566090,9/9/2019,23155,Knickerbockerglory Magnet Assorted,11.1,-6,12477.0,Germany
C566090,9/9/2019,21668,Red Stripe Ceramic Drawer Knob,11.74,-12,12477.0,Germany
C566090,9/9/2019,20685,Doormat Red Retrospot,17.51,-10,12477.0,Germany
C566084,9/9/2019,23173,Regency Teapot Roses,20.45,-1,12621.0,Germany
C565597,9/5/2019,22980,Pantry Scrubbing Brush,11.94,-1,12709.0,Germany
C565597,9/5/2019,22666,Recipe Box Pantry Yellow Design,13.27,-1,12709.0,Germany
C565597,9/5/2019,22625,Red Kitchen Scales,18.09,-1,12709.0,Germany
C565597,9/5/2019,21658,Glass Beurre Dish,13.72,-2,12709.0,Germany
C565284,9/2/2019,22423,Regency Cakestand 3 Tier,21.47,-6,12471.0,Germany
C565227,9/2/2019,85053,French Enamel Candleholder,12.4,-1,12708.0,Germany
C565284,9/2/2019,23245,Set Of 3 Regency Cake Tins,15.32,-2,12471.0,Germany
C565284,9/2/2019,23241,Treasure Tin Gymkhana Design,12.38,-1,12471.0,Germany
C565284,9/2/2019,23198,Pantry Magnetic Shopping List,11.74,-1,12471.0,Germany
C565284,9/2/2019,23197,Sketchbook Magnetic Shopping List,11.74,-1,12471.0,Germany
C565284,9/2/2019,21232,Strawberry Ceramic Trinket Pot,11.53,-1,12471.0,Germany
C565284,9/2/2019,23236,Storage Tin Vintage Doily,13.21,-1,12471.0,Germany
C565085,9/1/2019,23079,Toadstool Bedside Light,19.42,-2,12474.0,Germany
C565089,9/1/2019,22553,Plasters In Tin Skulls,11.94,-12,12645.0,Germany
