TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C579785,11/30/2019,23243,Set Of Tea Coffee Sugar Tins Pantry,6.19,-2,12584.0,Italy
C579785,11/30/2019,22847,Bread Bin Diner Style Ivory,6.19,-3,12584.0,Italy
C579785,11/30/2019,22845,Vintage Cream Cat Food Container,6.19,-3,12584.0,Italy
C579785,11/30/2019,22844,Vintage Cream Dog Food Container,6.19,-3,12584.0,Italy
C579785,11/30/2019,22666,Recipe Box Pantry Yellow Design,6.19,-1,12584.0,Italy
C579864,11/30/2019,22120,Welcome Wooden Block Letters,6.19,-9,12584.0,Italy
C576216,11/14/2019,22847,Bread Bin Diner Style Ivory,27.62,-1,12584.0,Italy
C576216,11/14/2019,21843,Red Retrospot Cake Stand,21.47,-1,12584.0,Italy
C576216,11/14/2019,85123A,Cream Hanging Heart T-Light Holder,13.27,-3,12584.0,Italy
C576216,11/14/2019,22960,Jam Making Set With Jars,14.61,-3,12584.0,Italy
C576216,11/14/2019,22804,Pink Hanging Heart T-Light Holder,13.27,-3,12584.0,Italy
C576216,11/14/2019,22720,Set Of 3 Cake Tins Pantry Design,15.32,-3,12584.0,Italy
C572761,10/26/2019,22960,Jam Making Set With Jars,14.61,-3,12584.0,Italy
C572761,10/26/2019,22845,Vintage Cream Cat Food Container,16.76,-1,12584.0,Italy
C572761,10/26/2019,22844,Vintage Cream Dog Food Container,18.96,-1,12584.0,Italy
C572761,10/26/2019,22666,Recipe Box Pantry Yellow Design,13.27,-1,12584.0,Italy
C569949,10/6/2019,23243,Set Of Tea Coffee Sugar Tins Pantry,15.32,-2,12584.0,Italy
C569949,10/6/2019,22960,Jam Making Set With Jars,14.61,-1,12584.0,Italy
C569949,10/6/2019,22845,Vintage Cream Cat Food Container,16.76,-1,12584.0,Italy
C569949,10/6/2019,22844,Vintage Cream Dog Food Container,18.96,-2,12584.0,Italy
C569949,10/6/2019,22804,Pink Hanging Heart T-Light Holder,13.27,-2,12584.0,Italy
C569949,10/6/2019,22720,Set Of 3 Cake Tins Pantry Design,15.32,-1,12584.0,Italy
C562423,8/4/2019,22423,Regency Cakestand 3 Tier,23.32,-1,12584.0,Italy
C562423,8/4/2019,22720,Set Of 3 Cake Tins Pantry Design,15.32,-2,12584.0,Italy
C562423,8/4/2019,22627,Mint Kitchen Scales,18.96,-2,12584.0,Italy
C562425,8/4/2019,23243,Set Of Tea Coffee Sugar Tins Pantry,15.32,-1,12584.0,Italy
C558439,6/29/2019,22848,Bread Bin Diner Style Pink,27.62,-1,12584.0,Italy
C558439,6/29/2019,22849,Bread Bin Diner Style Mint,27.62,-1,12584.0,Italy
C558439,6/29/2019,22804,Pink Hanging Heart T-Light Holder,13.27,-2,12584.0,Italy
C546501,3/14/2019,22720,Set Of 3 Cake Tins Pantry Design,15.32,-2,12584.0,Italy
C542273,1/27/2019,21936,Red Retrospot Picnic Bag,13.27,-2,12578.0,Italy
C542273,1/27/2019,22099,Caravan Square Tissue Box,11.53,-9,12578.0,Italy
C542273,1/27/2019,20980,36 Pencils Tube Posy,11.53,-9,12578.0,Italy
C542273,1/27/2019,22301,Coffee Mug Cat + Bird Design,12.86,-1,12578.0,Italy
C542273,1/27/2019,22300,Coffee Mug Dog + Ball Design,12.86,-1,12578.0,Italy
C540129,1/5/2019,22352,Lunch Box With Cutlery Retrospot,12.86,-3,12578.0,Italy
C537232,12/6/2018,84840,Sweetheart Carry-All Basket,18.96,-2,12586.0,Italy
