TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C580832,12/6/2019,23238,Set Of 4 Knick Knack Tins London,6.19,-1,12753.0,Japan
C580832,12/6/2019,23237,Set Of 4 Knick Knack Tins Leaf,6.19,-3,12753.0,Japan
C580832,12/6/2019,22667,Recipe Box Retrospot,6.19,-3,12753.0,Japan
C580832,12/6/2019,21731,Red Toadstool Led Night Light,6.19,-2,12753.0,Japan
C580832,12/6/2019,23480,Mini Lights Woodland Mushrooms,6.19,-15,12753.0,Japan
C580832,12/6/2019,22466,Fairy Tale Cottage Night Light,6.19,-17,12753.0,Japan
C580832,12/6/2019,23084,Rabbit Night Light,6.19,-7,12753.0,Japan
C580832,12/6/2019,22621,Traditional Knitting Nancy,6.19,-1,12753.0,Japan
C564138,8/23/2019,20979,36 Pencils Tube Red Retrospot,11.53,-16,12753.0,Japan
C564138,8/23/2019,22637,Piggy Bank Retrospot,12.4,-2,12753.0,Japan
C564138,8/23/2019,21218,Red Spotty Biscuit Tin,13.58,-3,12753.0,Japan
C564138,8/23/2019,23239,Set Of 4 Knick Knack Tins Poppies,14.09,-1,12753.0,Japan
C564138,8/23/2019,23244,Round Storage Tin Vintage Leaf,11.94,-2,12753.0,Japan
C564138,8/23/2019,23238,Set Of 4 Knick Knack Tins London,14.09,-1,12753.0,Japan
C564138,8/23/2019,23229,Vintage Donkey Tail Game,13.72,-1,12753.0,Japan
C564138,8/23/2019,22662,Lunch Bag Dolly Girl Design,5.97,-1,12753.0,Japan
C551015,4/26/2019,23176,Abc Treasure Book Box,12.56,-4,12753.0,Japan
C551015,4/26/2019,22637,Piggy Bank Retrospot,12.4,-3,12753.0,Japan
C551015,4/26/2019,22364,Glass Jar Digestive Biscuits,12.86,-9,12753.0,Japan
C551015,4/26/2019,22361,Glass Jar Daisy Fresh Cotton Wool,12.86,-1,12753.0,Japan
C551015,4/26/2019,21774,Decorative Cats Bathroom Bottle,11.53,-1,12753.0,Japan
C551015,4/26/2019,21452,Toadstool Money Box,12.86,-4,12753.0,Japan
C551015,4/26/2019,21218,Red Spotty Biscuit Tin,13.58,-10,12753.0,Japan
C551015,4/26/2019,22661,Charlotte Bag Dolly Girl Design,10.99,-1,12753.0,Japan
C548731,4/4/2019,22328,Round Snack Boxes Set Of 4 Fruits,12.86,-624,12755.0,Japan
C545446,3/2/2019,22957,Set 3 Paper Vintage Chick Paper Egg,12.86,-12,12753.0,Japan
C545446,3/2/2019,22654,Deluxe Sewing Kit,15.32,-2,12753.0,Japan
C545446,3/2/2019,22661,Charlotte Bag Dolly Girl Design,10.99,-1,12753.0,Japan
C545446,3/2/2019,20724,Red Retrospot Charlotte Bag,10.99,-1,12753.0,Japan
C545446,3/2/2019,20725,Lunch Bag Red Retrospot,5.87,-1,12753.0,Japan
C540392,1/6/2019,21155,Red Retrospot Peg Bag,12.4,-1,12753.0,Japan
C540392,1/6/2019,22244,3 Hook Hanger Magic Garden,12.25,-1,12753.0,Japan
C540392,1/6/2019,22088,Paper Bunting Coloured Lace,12.86,-40,12753.0,Japan
C540392,1/6/2019,22567,20 Dolly Pegs Retrospot,11.53,-3,12753.0,Japan
