TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C565050,8/31/2019,85159B,White Tea Coffee Sugar Jars,12.25,-1,12381.0,Norway
C565050,8/31/2019,23198,Pantry Magnetic Shopping List,11.74,-10,12381.0,Norway
C565050,8/31/2019,23243,Set Of Tea Coffee Sugar Tins Pantry,15.32,-2,12381.0,Norway
C565050,8/31/2019,21791,Vintage Heads And Tails Card Game,11.53,-12,12381.0,Norway
C547388,3/22/2019,84050,Pink Heart Shape Egg Frying Pan,11.94,-12,12352.0,Norway
C547388,3/22/2019,37448,Ceramic Cake Design Spotted Mug,11.78,-12,12352.0,Norway
C547388,3/22/2019,22784,Lantern Cream Gazebo,15.32,-3,12352.0,Norway
C547388,3/22/2019,22701,Pink Dog Bowl,13.27,-6,12352.0,Norway
C547388,3/22/2019,22645,Ceramic Heart Fairy Cake Money Bank,11.74,-12,12352.0,Norway
C547388,3/22/2019,22413,Metal Sign Take It Or Leave It,13.27,-6,12352.0,Norway
C547388,3/22/2019,21914,Blue Harmonica In Box,11.53,-12,12352.0,Norway
