TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C581128,12/7/2019,85099B,Jumbo Bag Red Retrospot,6.19,-3,12785.0,Portugal
C562144,8/3/2019,21643,Assorted Tutti Frutti Mirror,11.53,-12,12757.0,Portugal
C540142,1/5/2019,22667,Recipe Box Retrospot,13.27,-2,12782.0,Portugal
C540142,1/5/2019,22666,Recipe Box Pantry Yellow Design,13.27,-1,12782.0,Portugal
C540142,1/5/2019,21430,Set/3 Red Gingham Rose Storage Box,14.09,-1,12782.0,Portugal
C540142,1/5/2019,22960,Jam Making Set With Jars,14.09,-12,12782.0,Portugal
C538882,12/14/2018,21791,Vintage Heads And Tails Card Game,11.53,-12,12797.0,Portugal
C538882,12/14/2018,21892,Traditional Wooden Catch Cup Game,11.53,-12,12797.0,Portugal
C538882,12/14/2018,21891,Traditional Wooden Skipping Rope,11.53,-12,12797.0,Portugal
C538889,12/14/2018,22623,Box Of Vintage Jigsaw Blocks,15.32,-3,12797.0,Portugal
