TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C581148,12/7/2019,22063,Ceramic Bowl With Strawberry Design,6.19,-1,12462.0,Spain
C581148,12/7/2019,23247,Biscuit Tin 50'S Christmas,6.19,-4,12462.0,Spain
C581148,12/7/2019,37449,Ceramic Cake Stand + Hanging Cakes,6.19,-1,12462.0,Spain
C581148,12/7/2019,22059,Ceramic Strawberry Design Mug,6.19,-2,12462.0,Spain
C581148,12/7/2019,22057,Ceramic Plate Strawberry Design,6.19,-6,12462.0,Spain
C581148,12/7/2019,84817,Danish Rose Decorative Plate,6.02,-4,12462.0,Spain
C575531,11/10/2019,22960,Jam Making Set With Jars,14.61,-4,12544.0,Spain
C574894,11/7/2019,23458,Dolly Cabinet 3 Drawers,25.57,-1,12597.0,Spain
C574894,11/7/2019,21843,Red Retrospot Cake Stand,21.47,-2,12597.0,Spain
C574894,11/7/2019,23236,Storage Tin Vintage Doily,13.21,-1,12597.0,Spain
C574894,11/7/2019,22071,Small White Retrospot Mug In Box,14.09,-3,12597.0,Spain
C574894,11/7/2019,20914,Set/5 Red Retrospot Lid Glass Bowls,13.27,-6,12597.0,Spain
C574894,11/7/2019,22553,Plasters In Tin Skulls,11.94,-12,12597.0,Spain
C574894,11/7/2019,22554,Plasters In Tin Woodland Animals,11.94,-12,12597.0,Spain
C574894,11/7/2019,23661,Milk Maids Mug,11.94,-12,12597.0,Spain
C571499,10/17/2019,23064,Cinderella Chandelier,53.04,-10,12454.0,Spain
C571499,10/17/2019,22423,Regency Cakestand 3 Tier,21.47,-32,12454.0,Spain
C571499,10/17/2019,82494L,Wooden Frame Antique White,12.86,-72,12454.0,Spain
C571499,10/17/2019,82486,3 Drawer Antique White Wood Cabinet,18.6,-12,12454.0,Spain
C571499,10/17/2019,82483,Wood 2 Drawer Cabinet White Finish,16.35,-32,12454.0,Spain
C571499,10/17/2019,82482,Wooden Picture Frame White Finish,12.86,-72,12454.0,Spain
C571499,10/17/2019,72802C,Vanilla Scent Candle Jewelled Box,11.53,-288,12454.0,Spain
C571499,10/17/2019,72802B,Ocean Scent Candle In Jewelled Box,11.53,-200,12454.0,Spain
C571499,10/17/2019,23245,Set Of 3 Regency Cake Tins,14.5,-16,12454.0,Spain
C571499,10/17/2019,23072,Marie Antoinette Trinket Box Silver,16.91,-48,12454.0,Spain
C571499,10/17/2019,23071,Marie Antoinette Trinket Box Gold,16.91,-48,12454.0,Spain
C571499,10/17/2019,23057,Beaded Chandelier T-Light Holder,14.5,-48,12454.0,Spain
C571499,10/17/2019,23056,Flowers Chandelier T-Light Holder,15.77,-48,12454.0,Spain
C571499,10/17/2019,23055,Ivory Chandelier T-Light Holder,15.77,-48,12454.0,Spain
C571499,10/17/2019,22173,Metal 4 Hook Hanger French Chateau,13.07,-32,12454.0,Spain
C569370,10/3/2019,22221,Cake Stand Lovebird 2 Tier Pink,20.45,-1,12484.0,Spain
C567521,9/20/2019,22486,Plasmatronic Lamp,23.32,-1,12540.0,Spain
C567521,9/20/2019,22423,Regency Cakestand 3 Tier,23.32,-1,12540.0,Spain
C563899,8/21/2019,21340,Classic Metal Birdcage Plant Holder,23.32,-1,17097.0,Spain
C563899,8/21/2019,22726,Alarm Clock Bakelike Green,14.09,-1,17097.0,Spain
C559175,7/7/2019,22960,Jam Making Set With Jars,14.61,-11,12507.0,Spain
C545728,3/7/2019,22423,Regency Cakestand 3 Tier,23.32,-2,12484.0,Spain
C545728,3/7/2019,22636,Childs Breakfast Set Circus Parade,18.96,-1,12484.0,Spain
C545728,3/7/2019,21232,Strawberry Ceramic Trinket Pot,11.53,-2,12484.0,Spain
C544397,2/18/2019,21730,Glass Star Frosted T-Light Holder,15.32,-1,12462.0,Spain
C544397,2/18/2019,37450,Ceramic Cake Bowl + Hanging Cakes,13.27,-1,12462.0,Spain
C544397,2/18/2019,22063,Ceramic Bowl With Strawberry Design,13.27,-1,12462.0,Spain
C544397,2/18/2019,37449,Ceramic Cake Stand + Hanging Cakes,20.45,-1,12462.0,Spain
C541654,1/20/2019,21843,Red Retrospot Cake Stand,21.47,-6,12540.0,Spain
