TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C581229,12/8/2019,84828,Jungle Popsicles Ice Lolly Moulds,6.19,-24,12558.0,USA
C581229,12/8/2019,79191C,Retro Plastic Elephant Tray,6.19,-24,12558.0,USA
C581229,12/8/2019,23392,Spaceboy Rocket Lolly Makers,6.19,-24,12558.0,USA
C581229,12/8/2019,23158,Set Of 5 Lucky Cat Magnets,6.19,-36,12558.0,USA
C581229,12/8/2019,22712,Card Dolly Girl,6.19,-12,12558.0,USA
C581229,12/8/2019,22027,Tea Party Birthday Card,6.19,-12,12558.0,USA
C581229,12/8/2019,21508,Vintage Kid Dolly Card,6.19,-12,12558.0,USA
C581229,12/8/2019,21507,Elephant Birthday Card,6.19,-12,12558.0,USA
C581229,12/8/2019,85099B,Jumbo Bag Red Retrospot,6.19,-10,12558.0,USA
C581229,12/8/2019,23344,Jumbo Bag 50'S Christmas,6.19,-10,12558.0,USA
C581229,12/8/2019,23209,Lunch Bag Vintage Doily,6.19,-20,12558.0,USA
C570867,10/12/2019,22848,Bread Bin Diner Style Pink,27.62,-1,12607.0,USA
C570867,10/12/2019,23290,Spaceboy Childrens Bowl,11.53,-8,12607.0,USA
C570867,10/12/2019,23289,Dolly Girl Childrens Bowl,11.53,-8,12607.0,USA
C570867,10/12/2019,23256,Childrens Cutlery Spaceboy,14.5,-4,12607.0,USA
C570867,10/12/2019,23255,Childrens Cutlery Circus Parade,14.5,-4,12607.0,USA
C570867,10/12/2019,23254,Childrens Cutlery Dolly Girl,14.5,-4,12607.0,USA
C570867,10/12/2019,23229,Vintage Donkey Tail Game,14.09,-6,12607.0,USA
C570867,10/12/2019,23167,Small Ceramic Top Storage Jar,11.1,-12,12607.0,USA
C570867,10/12/2019,23166,Medium Ceramic Top Storage Jar,11.53,-12,12607.0,USA
C570867,10/12/2019,23165,Large Ceramic Top Storage Jar,11.94,-12,12607.0,USA
C570867,10/12/2019,23159,Set Of 5 Pancake Day Magnets,12.38,-12,12607.0,USA
C570867,10/12/2019,23156,Set Of 5 Mini Grocery Magnets,12.38,-12,12607.0,USA
C570867,10/12/2019,23078,Ice Cream Pen Lip Gloss,11.53,-24,12607.0,USA
C570867,10/12/2019,23077,Doughnut Lip Gloss,11.53,-20,12607.0,USA
C570867,10/12/2019,23014,Glass Apothecary Bottle Elixir,14.3,-4,12607.0,USA
C570867,10/12/2019,22989,Set 2 Pantry Design Tea Towels,13.58,-6,12607.0,USA
C570867,10/12/2019,22983,Card Billboard Font,10.68,-12,12607.0,USA
C570867,10/12/2019,22974,Childrens Dolly Girl Mug,11.94,-12,12607.0,USA
C570867,10/12/2019,22972,Children's Spaceboy Mug,11.94,-12,12607.0,USA
C570867,10/12/2019,22959,Wrap Christmas Village,10.68,-25,12607.0,USA
C570867,10/12/2019,22951,60 Cake Cases Dolly Girl Design,10.81,-24,12607.0,USA
C570867,10/12/2019,22949,Set Of 36 Dolly Girl Paper Doilies,11.74,-12,12607.0,USA
C570867,10/12/2019,22938,Cupcake Lace Paper Set 6,12.25,-12,12607.0,USA
C570867,10/12/2019,22922,Fridge Magnets Us Diner Assorted,11.12,-12,12607.0,USA
C570867,10/12/2019,22818,Card Christmas Village,10.68,-12,12607.0,USA
C570867,10/12/2019,22739,Ribbon Reel Christmas Sock Bauble,11.94,-10,12607.0,USA
C570867,10/12/2019,22738,Ribbon Reel Snowy Village,11.94,-10,12607.0,USA
C570867,10/12/2019,22737,Ribbon Reel Christmas Present,11.94,-10,12607.0,USA
